    0.139     0.083124     0.851094     0.134036
    0.140     0.083220     0.852271     0.134508
    0.141     0.083321     0.853473     0.134994
    0.142     0.083427     0.854701     0.135494
    0.143     0.083538     0.855958     0.136008
    0.144     0.083655     0.857243     0.136537
    0.145     0.083777     0.858559     0.137081
    0.146     0.083906     0.859907     0.137642
    0.147     0.084040     0.861290     0.138220
    0.148     0.084181     0.862706     0.138815
    0.149     0.084327     0.864157     0.139427
    0.150     0.084480     0.865642     0.140056
    0.151     0.084640     0.867160     0.140701
    0.152     0.084805     0.868709     0.141363
    0.153     0.084976     0.870288     0.142040
    0.154     0.085152     0.871893     0.142732
    0.155     0.085333     0.873524     0.143437
    0.156     0.085520     0.875179     0.144154
    0.157     0.085712     0.876855     0.144885
    0.158     0.085908     0.878554     0.145627
    0.159     0.086109     0.880276     0.146382
    0.160     0.086315     0.882020     0.147149
    0.161     0.086526     0.883787     0.147928
    0.162     0.086741     0.885577     0.148720
    0.163     0.086961     0.887391     0.149523
    0.164     0.087186     0.889227     0.150338
    0.165     0.087414     0.891082     0.151163
    0.166     0.087647     0.892956     0.151997
    0.167     0.087883     0.894845     0.152840
